"AAPL.High","AAPL.Open","AAPL.Close","AAPL.Low","AAPL.Volume","AAPL.Adjusted","AAPL.High.SMA50","AAPL.Open.SMA50","AAPL.Close.SMA50","AAPL.Low.SMA50","AAPL.Volume.SMA50","AAPL.Adjusted.SMA50","AAPL.High.SMA200","AAPL.Open.SMA200","AAPL.Close.SMA200","AAPL.Low.SMA200","AAPL.Volume.SMA200","AAPL.Adjusted.SMA200","crosses"
32.029999,31.3925,31.9,31.2925,188217200,29.081076,31.86099998,31.60714994,31.59214986,31.3089502,201713280,28.80042992,NA,NA,NA,NA,NA,NA,NA
32.049999,32.025002,31.727501,31.6675,129740400,28.923824,31.90074996,31.64755,31.63204988,31.35005022,200811560,28.83680416,NA,NA,NA,NA,NA,NA,NA
32.217499,31.747499,32.154999,31.58,150618000,29.31354,31.94589996,31.68974996,31.67654986,31.38950022,200712736,28.87737176,NA,NA,NA,NA,NA,NA,NA
32.605,32.075001,32.4175,32.035,183083600,29.552843,31.98724996,31.73039998,31.71479988,31.4294002,199413728,28.91224168,NA,NA,NA,NA,NA,NA,NA
32.657501,32.622501,32.57,32.307499,178103600,29.691864,32.01579998,31.76900002,31.7417999,31.46305018,197090856,28.93685564,NA,NA,NA,NA,NA,NA,NA
33.282501,33.077499,33.162498,32.787498,387816800,30.232006,32.04404998,31.80025002,31.77274986,31.49095014,198889232,28.96507066,NA,NA,NA,NA,NA,NA,NA
33.634998,33.615002,32.639999,32.392502,475696000,29.755684,32.08034994,31.83615006,31.79014984,31.51055018,204061376,28.98093306,NA,NA,NA,NA,NA,NA,NA
32.897499,32.540001,32.16,32.075001,253544400,29.318098,32.0938999,31.8495001,31.79419984,31.5174502,204080072,28.98462512,NA,NA,NA,NA,NA,NA,NA
32.16,32.16,31.2875,31.145,332781600,28.522703,32.0931999,31.85455012,31.77634984,31.50310022,207144368,28.9683525,NA,NA,NA,NA,NA,NA,NA
32.532501,31.525,32.237499,31.325001,234050400,29.388752,32.09869992,31.84265014,31.77884984,31.48795024,208836384,28.97063166,NA,NA,NA,NA,NA,NA,NA
32.642502,32.375,32.174999,32.064999,203953200,29.33177,32.10404996,31.84705016,31.77484982,31.4890002,208999576,28.966985,NA,NA,NA,NA,NA,NA,NA
32.112499,32.037498,31.450001,31.445,197085600,28.670845,32.08129994,31.8377001,31.73884984,31.46960018,207263360,28.93416624,NA,NA,NA,NA,NA,NA,NA
31.6875,31.639999,31.252501,30.84,288564000,28.490789,32.0470499,31.80580006,31.70304986,31.43055018,207496392,28.90152974,NA,NA,NA,NA,NA,NA,NA
31.52,31.192499,31.315001,31.004999,175763600,28.667021,32.01944986,31.77185006,31.68539992,31.4099002,205034728,28.8878245,NA,NA,NA,NA,NA,NA,NA
31.905001,31.67,31.905001,31.5275,222201600,29.207123,32.0031999,31.7613001,31.67139994,31.4074002,202175760,28.87749136,NA,NA,NA,NA,NA,NA,NA
31.889999,31.8475,31.58,31.407499,168143200,28.909609,31.98814984,31.7482501,31.6606999,31.39435016,200577440,28.87014192,NA,NA,NA,NA,NA,NA,NA
31.719999,31.4,31.467501,31.205,192640000,28.806618,31.97114982,31.7300001,31.64459994,31.37695014,200582504,28.85786112,NA,NA,NA,NA,NA,NA,NA
31.797501,31.5375,31.502501,31.467501,138776800,28.838661,31.95949982,31.71595006,31.62784996,31.36585018,200332736,28.84499036,NA,NA,NA,NA,NA,NA,NA
32.237499,31.852501,32.237499,31.790001,180814000,29.511515,31.95644982,31.70750004,31.62989998,31.36005016,201415712,28.84931452,NA,NA,NA,NA,NA,NA,NA
32.372501,32.267502,32.192501,32.052502,152832000,29.470316,31.96014984,31.70995008,31.64169998,31.37230018,199950984,28.86252348,NA,NA,NA,NA,NA,NA,NA
32.68,32.095001,32.547501,32.09,203531600,29.795296,31.96689986,31.70985014,31.65965,31.38280016,198194248,28.881366,NA,NA,NA,NA,NA,NA,NA
32.720001,32.672501,32.517502,32.41,178532800,29.767832,31.97344984,31.72350016,31.67430004,31.40570018,194682624,28.8971978,NA,NA,NA,NA,NA,NA,NA
32.744999,32.5,32.514999,32.334999,145819600,29.765543,31.99224982,31.74145014,31.70205,31.43340014,192090488,28.92497184,NA,NA,NA,NA,NA,NA,NA
32.907501,32.517502,32.8475,32.4575,158921600,30.069931,32.02654986,31.76805018,31.74780002,31.47200014,189753800,28.96918064,NA,NA,NA,NA,NA,NA,NA
33.2425,32.900002,33.134998,32.849998,182384000,30.333115,32.06689986,31.81450024,31.78825,31.52085012,189532464,29.00857976,NA,NA,NA,NA,NA,NA,NA
33.227501,33.150002,32.404999,32.279999,282790400,29.664848,32.10444988,31.85550028,31.8184,31.5535501,191042088,29.03853348,NA,NA,NA,NA,NA,NA,NA
33.064999,32.584999,33.009998,32.512501,183332800,30.218685,32.14099988,31.88780028,31.85384998,31.5894501,191838800,29.07336486,NA,NA,NA,NA,NA,NA,NA
32.987499,32.965,32.945,32.775002,122933200,30.15918,32.16414986,31.91760028,31.87754998,31.61670014,190215616,29.09747952,NA,NA,NA,NA,NA,NA,NA
32.862499,32.807499,32.57,32.474998,203538000,29.815893,32.17559982,31.93875026,31.88659998,31.63435008,189064704,29.10821014,NA,NA,NA,NA,NA,NA,NA
32.8475,32.57,32.634998,32.512501,128451200,29.875401,32.18629982,31.94640026,31.90179994,31.6476001,187968968,29.12455246,NA,NA,NA,NA,NA,NA,NA
32.665001,32.465,32.490002,32.330002,134670400,29.742664,32.19759988,31.95445026,31.92209998,31.66840012,185166768,29.14553306,NA,NA,NA,NA,NA,NA,NA
32.735001,32.665001,32.529999,32.474998,123934000,29.77927,32.2130499,31.97215026,31.93664996,31.6853001,184628672,29.1612746,NA,NA,NA,NA,NA,NA,NA
32.645,32.395,32.34,32.227501,153800400,29.605347,32.22574994,31.98390024,31.94999994,31.69705014,185077296,29.17590794,NA,NA,NA,NA,NA,NA,NA
32.422501,32.375,32.162498,32.09,142507200,29.442848,32.24009996,31.99870024,31.97634992,31.72195016,183795024,29.20237884,NA,NA,NA,NA,NA,NA,NA
32.302502,32.224998,31.950001,31.7075,210699200,29.24832,32.26175002,32.02940018,31.99414996,31.74310016,184203176,29.22103898,NA,NA,NA,NA,NA,NA,NA
32.02,31.674999,31.855,31.405001,224301600,29.161358,32.27865004,32.04005016,32.01499996,31.75665016,185525512,29.24247258,NA,NA,NA,NA,NA,NA,NA
32.334999,31.98,32.220001,31.9625,156349200,29.495487,32.29335002,32.05940014,32.02754996,31.77590016,184884520,29.25636734,NA,NA,NA,NA,NA,NA,NA
32.544998,32.294998,32.147499,32.119999,141563600,29.429115,32.3118,32.07485012,32.04834994,31.79650014,184348544,29.27777752,NA,NA,NA,NA,NA,NA,NA
